nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
FERNANDO BEZERRA DE SOUZA COELHO FILHO,M,81 dias,6 dias,5 dias,6 reuniões,39 reuniões,4 reuniões,28/02/1984,"289.091,64","32.904,38","35.321,53","50.966,51","42.640,35","22.991,65","38.141,86","34.943,44","7.902,03","1.571,47","20.930,42",não contabilizados,não contabilizados,33763.0,"289.091,64","106.461,21","106.461,21","106.461,21","106.461,21","107.548,75","111.277,47","111.277,47","110.295,40","110.786,15","110.786,15",não contabilizados,não contabilizados,33763.0,
FREDERICO BORGES DA COSTA,M,83 dias,0 dias,9 dias,14 reuniões,5 reuniões,1 reuniões,12/07/1977,"285.262,12","14.730,30","29.479,43","41.701,41","55.095,45","44.266,74","24.177,23","21.336,08","23.057,48","15.301,98","12.687,52",não contabilizados,não contabilizados,33763.0,"285.262,12","110.167,89","108.567,01","109.305,97","109.305,97","109.563,08","108.452,71","101.554,25","109.006,01","107.977,56","103.926,38",não contabilizados,não contabilizados,33763.0,
FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,M,82 dias,0 dias,10 dias,13 reuniões,10 reuniões,3 reuniões,29/05/1991,"289.321,08","39.534,77","31.282,38","56.382,81","46.765,21","50.641,59","43.365,67","18.271,75","239,65","40,19","1.714,17",não contabilizados,não contabilizados,33763.0,"289.321,08","97.669,43","98.842,46","98.853,61","101.434,99","105.314,69","105.934,61","105.601,33","88.221,20","71.613,40","65.419,80",não contabilizados,não contabilizados,33763.0,
FERNANDO RODOLFO TENORIO DE VASCONCELOS,M,83 dias,5 dias,4 dias,17 reuniões,51 reuniões,3 reuniões,17/11/1983,"302.649,08","34.398,75","35.640,31","48.456,09","61.790,50","42.253,99","30.175,92","26.376,10","10.140,69","7.883,19","5.533,54",não contabilizados,não contabilizados,33763.0,"302.649,08","110.824,90","108.472,48","109.833,05","104.726,42","110.607,73","107.797,77","106.334,87","77.927,20","90.812,99","88.404,25",não contabilizados,não contabilizados,33763.0,
FRANCISCO RODRIGUES VALE JUNIOR,M,87 dias,2 dias,3 dias,25 reuniões,6 reuniões,2 reuniões,15/03/1969,"309.142,86","17.093,58","30.616,27","50.032,21","33.547,10","38.718,63","30.008,06","31.405,20","20.504,95","10.000,71","26.688,21",não contabilizados,não contabilizados,33763.0,"309.142,86","110.440,58","110.440,58","110.440,58","110.440,58","108.630,41","108.370,30","101.304,39","105.472,56","105.472,56","105.472,56",não contabilizados,não contabilizados,33763.0,
FERNANDO MONTEIRO DE ALBUQUERQUE,M,87 dias,0 dias,5 dias,17 reuniões,3 reuniões,4 reuniões,17/09/1976,"320.877,65","33.166,59","36.756,35","50.815,63","46.090,78","35.207,06","35.106,58","33.522,18","12.348,74","7.355,49","29.824,28",não contabilizados,não contabilizados,33763.0,"320.877,65","111.665,62","111.462,42","111.451,57","108.833,71","111.665,62","111.665,62","111.665,62","110.146,43","102.361,66","104.196,43",não contabilizados,não contabilizados,33763.0,1
FLÁVIO RODRIGUES NOGUEIRA,M,91 dias,0 dias,1 dias,39 reuniões,4 reuniões,0 reuniões,27/02/1953,"395.772,41","38.329,27","41.835,51","39.604,13","37.048,37","42.494,03","47.068,00","42.082,62","36.727,61","36.484,39","34.098,48",não contabilizados,não contabilizados,33763.0,"395.772,41","110.937,69","110.937,69","111.074,66","110.962,76","111.467,18","111.544,27","111.544,27","111.544,27","111.544,27","105.327,63",não contabilizados,não contabilizados,33763.0,
FLAVIANO FLÁVIO BAPTISTA DE MELO,M,82 dias,0 dias,10 dias,3 reuniões,1 reuniões,0 reuniões,17/11/1949,"438.870,21","34.282,68","37.155,36","51.227,13","29.713,90","79.405,70","25.480,53","38.048,40","39.592,10","54.822,12","29.142,29",não contabilizados,não contabilizados,33763.0,"438.870,21","107.904,83","107.983,89","111.367,03","111.659,62","111.659,62","111.659,62","111.659,62","110.227,30","110.179,56","110.179,56",não contabilizados,não contabilizados,33763.0,
GENECIAS MATEUS NORONHA,M,58 dias,3 dias,31 dias,0 reuniões,0 reuniões,0 reuniões,13/03/1963,"182.956,80","6.912,14","17.143,52","35.003,95","26.327,99","19.477,71","14.497,11","13.104,39","10.260,84","26.907,04","13.322,11",não contabilizados,não contabilizados,33763.0,"182.956,80","92.989,03","98.109,44","100.534,90","101.430,22","99.984,28","106.905,63","103.040,08","103.040,08","103.040,08","103.040,08",não contabilizados,não contabilizados,33763.0,
ELIÉSER GIRÃO MONTEIRO FILHO,M,85 dias,3 dias,4 dias,47 reuniões,6 reuniões,3 reuniões,08/05/1955,"363.091,99","37.148,25","58.184,62","39.315,76","43.316,28","45.230,05","37.619,01","23.969,66","26.317,64","11.257,52","39.833,77",não contabilizados,não contabilizados,33763.0,"363.091,99","111.550,61","111.550,61","111.550,61","111.550,61","111.550,61","110.587,36","111.550,61","111.550,61","111.550,61","111.550,61",não contabilizados,não contabilizados,33763.0,
